iter	Passed	Remaining
0	176	176036
1	200	99835
2	211	70357
3	222	55342
4	229	45707
5	251	41619
6	259	36867
7	270	33553
8	279	30724
9	289	28613
10	296	26643
11	303	24992
12	312	23705
13	320	22549
14	325	21407
15	333	20505
16	341	19767
17	348	19037
18	355	18334
19	361	17699
20	367	17122
21	374	16662
22	383	16306
23	390	15875
24	399	15589
25	408	15299
26	415	14985
27	422	14653
28	431	14441
29	437	14148
30	445	13920
31	451	13662
32	459	13477
33	466	13242
34	474	13076
35	482	12907
36	488	12705
37	495	12531
38	500	12329
39	506	12164
40	512	11993
41	518	11832
42	523	11655
43	529	11513
44	535	11365
45	540	11208
46	545	11070
47	551	10933
48	555	10787
49	561	10659
50	566	10534
51	570	10409
52	575	10285
53	581	10185
54	586	10084
55	592	9987
56	597	9882
57	602	9781
58	607	9683
59	611	9585
60	617	9501
61	622	9418
62	627	9327
63	632	9253
64	637	9172
65	642	9086
66	647	9013
67	652	8944
68	657	8868
69	664	8823
70	669	8760
71	673	8687
72	679	8632
73	686	8592
74	692	8541
75	700	8513
76	706	8469
77	714	8447
78	720	8405
79	729	8385
80	735	8346
81	742	8310
82	748	8273
83	755	8233
84	762	8209
85	769	8173
86	775	8137
87	782	8108
88	789	8078
89	796	8050
90	802	8019
91	809	7991
92	819	7988
93	824	7949
94	829	7904
95	836	7876
96	841	7833
97	846	7790
98	852	7754
99	857	7715
100	862	7680
101	868	7643
102	873	7603
103	878	7565
104	883	7528
105	888	7493
106	893	7458
107	898	7422
108	903	7385
109	908	7351
110	913	7319
111	918	7285
112	923	7247
113	928	7219
114	934	7188
115	938	7155
116	943	7123
117	950	7102
118	955	7071
119	961	7051
120	966	7024
121	973	7005
122	980	6991
123	987	6976
124	993	6953
125	999	6934
126	1006	6920
127	1012	6898
128	1019	6883
129	1025	6864
130	1032	6846
131	1047	6885
132	1055	6880
133	1062	6864
134	1067	6837
135	1072	6813
136	1078	6796
137	1084	6774
138	1089	6750
139	1096	6734
140	1101	6709
141	1108	6699
142	1114	6680
143	1120	6659
144	1130	6663
145	1135	6641
146	1143	6633
147	1148	6610
148	1155	6598
149	1162	6586
150	1167	6563
151	1174	6553
152	1180	6534
153	1185	6515
154	1193	6504
155	1201	6497
156	1208	6491
157	1216	6480
158	1223	6469
159	1228	6451
160	1234	6431
161	1240	6415
162	1246	6398
163	1253	6387
164	1258	6369
165	1264	6351
166	1270	6335
167	1275	6316
168	1280	6298
169	1286	6282
